score,rec,score_total,recommendation,rationale,url,titulo,ubicacion,precio,m2,habitaciones,baños,planta,ascensor,plataforma,tipo,estado,año
73.0,visit,73.0,worth_visit,,https://www.idealista.com/inmueble/111155365/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Casa o chalet independiente en venta en Nuevo San Andrés - Dos Hermanas,"Carretera de Cádiz, Málaga",259000.0,65.0,2.0,1.0,,,idealista,Casa,Segunda mano/buen estado,1970.0
73.0,visit,73.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-52152-111290263,Venta de piso en El Ejido - La Merced - La Victoria de 2 habitaciones con terraza y aire acondicionado,El Ejido - La Merced - La Victoria,199000.0,54.0,2.0,1.0,planta 3ª,No,yaencontre,Piso,buen estado,1965.0
73.0,visit,73.0,worth_visit,,https://www.tecnocasa.es/venta/piso/malaga/malaga/643358.html,Piso en venta en C. Carlos Falgueras,C. Carlos Falgueras,190000.0,63.0,,1.0,,Sí,tecnocasa,Piso,,1944.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111350366/foto/17/?utm_medium=socialmedia&utm_campaign=private_sendadpicturetofriend&utm_source=notifications,Piso en venta en Nuevo San Andrés - Dos Hermanas,"Carretera de Cádiz, Málaga",175000.0,56.0,3.0,1.0,Planta 4ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1961.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111365818/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Emilio Prados, 8","Girón - Las Delicias - Pacífico, Málaga",240000.0,80.0,3.0,1.0,Planta 2ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,1977.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111520772/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Comandante Román,"Girón - Las Delicias - Pacífico, Málaga",210000.0,58.0,3.0,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1965.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111415720/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Huelin,"Carretera de Cádiz, Málaga",145000.0,53.0,3.0,1.0,Planta 3ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1956.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/110661101/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Chalet adosado en venta en Calle Biznaga,"El Palo, Málaga",295000.0,71.0,2.0,1.0,,,idealista,Casa,Segunda mano/para reformar,1955.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111344147/,Piso en venta en Calle Alderete,"El Molinillo - Capuchinos, Málaga",222000.0,61.0,3.0,1.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,1967.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111257696/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Casa o chalet independiente en venta en Calle las Navas,"Huelin, Málaga",250000.0,80.0,2.0,1.0,,,idealista,Casa,Segunda mano/para reformar,1990.0
72.0,visit,72.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-66249-111344147,Piso en venta en El Molinillo - Capuchinos de 3 habitaciones con balcón y ascensor,El Molinillo - Capuchinos,222000.0,61.0,3.0,1.0,planta 3ª,Sí,yaencontre,Piso,por reformar,1967.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/110854590/,Chalet pareado en venta en Calle Biznaga,"El Palo, Málaga",150000.0,25.0,1.0,1.0,,,idealista,Casa,Segunda mano/buen estado,1940.0
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111337795/foto/3/,Piso en venta en Calle Paco Miranda s/n,"Cristo de la Epidemia, Málaga",239000.0,70.0,3.0,1.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,1981.0
72.0,visit,72.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/dos-hermanas-nuevo-san-andres/189467628/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,"Flat for sale in Calle Concejal Masso Roura, 4, Dos Hermanas - Nuevo San Andrés","Calle Concejal Masso Roura, 4, Dos Hermanas - Nuevo San Andrés",175000.0,56.0,3.0,1.0,,No,fotocasa,Piso,Buen estado,
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111355619/,Piso en venta en La Luz,"Carretera de Cádiz, Málaga",225000.0,75.0,2.0,1.0,Planta 7ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,
72.0,visit,72.0,worth_visit,,https://www.idealista.com/inmueble/111337571/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Doña Trinidad De, 10","Perchel norte, Málaga",99900.0,27.0,1.0,1.0,Planta 2ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,2006.0
72.0,visit,72.0,worth_visit,,https://www.tecnocasa.es/venta/piso/malaga/malaga/653845.html,Piso en venta en Teatinos - Portada Alta - Carlos Haya,Teatinos - Portada Alta - Carlos Haya,179900.0,60.0,2.0,1.0,,No,tecnocasa,Piso,Para entrar a vivir,1976.0
72.0,visit,72.0,worth_visit,,https://www.tecnocasa.es/venta/piso/malaga/malaga/654745.html,Piso en venta en Ciudad Jardín,Ciudad Jardín,78500.0,104.0,,1.0,,No,tecnocasa,Piso,,1975.0
70.0,visit,70.0,worth_visit,,https://www.fotocasa.es/es/comprar/vivienda/malaga-capital/aire-acondicionado-ascensor-amueblado/189661125/d?isGalleryOpen=true&from=list&multimedia=image,Piso en venta en Puerta Blanca,Puerta Blanca,225000.0,,,,,,fotocasa,Piso,,
